month_id,subscriber_uid,city,fsa,services_subscribed_name,internet_service_level,internet_rgu,account_mrr,internet_mrr
1705,8766161,FORT MCMURRAY,T9K,Video - Internet,Internet 15,1,117.99,66
1705,1552725,FORT MCMURRAY,T9H,Video - Internet,Internet 30,1,122,75
1705,1512715,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,172.99,35.05
1705,5921019,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 60,1,199,95
1705,1515066,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,223.85,79.9
1705,10105437,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,85.9,47.5
1705,1574702,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,149,73
1705,9652714,FORT MCMURRAY,T9K,Internet,High Speed 20(GF),1,0,0
1705,1538683,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,1524118,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,237.9,79.9
1705,8662045,FORT MCMURRAY,T9K,Internet,Internet 30,1,65,65
1705,1572809,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,185.9,79.9
1705,5313766,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,201,75
1705,1561986,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,134,61
1705,1542602,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,187,75
1705,6131435,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,159,73
1705,5523287,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,188,75
1705,5613994,FORT MCMURRAY,T9K,Video - Internet - Phone,Broadband 50(GGF),1,235,65
1705,1518695,FORT MCMURRAY,T9K,Internet - Phone,High Speed 10(GF),1,95,65
1705,9785027,FORT MCMURRAY,T9K,Internet - Phone,Internet 30,1,0,0
1705,5764141,FORT MCMURRAY,T9K,Internet,Internet 150,1,49.9,49.9
